統合・呼吸器,10,13,3,呼吸器系の構造と機能,呼吸器内科学,教授,西村正治
統合・呼吸器,10,13,4,呼吸機能検査,呼吸器内科学,教授,西村正治
統合・呼吸器,10,14,1,呼吸器の画像診断,恵佑会札幌病院放射線診断科,部長,小野寺祐也
統合・呼吸器,10,14,2,胸腔内の構造と胸腔ドレナージ,循環器・呼吸器外科学,診療教授,加賀基知三
統合・呼吸器,10,14,3,呼吸調節障害,エルムの杜内科クリニック,院長,渋谷英二
統合・呼吸器,10,14,4,呼吸器の画像診断（X線）,呼吸器内科学,講師,榊原純
統合・呼吸器,10,17,1,上気道疾患−1（鼻科領域）,耳鼻咽喉科・頭頸部外科学,講師,中丸祐爾
統合・呼吸器,10,17,2,上気道疾患−2（咽頭・気管）,耳鼻咽喉科・頭頸部外科学,准教授,本間明宏
統合・呼吸器,10,18,1,呼吸器疾患の病理診断（腫瘍性肺疾患）,病理部,教授,松野吉宏
統合・呼吸器,10,18,2,呼吸器疾患の病理診断（炎症性肺疾患）,病理部,教授,松野吉宏
統合・呼吸器,10,18,3,気管支喘息,呼吸器内科学,准教授,今野哲
統合・呼吸器,10,18,4,免疫アレルギー性肺疾患,呼吸器内科学,准教授,今野哲
統合・呼吸器,10,19,1,肺腫瘍,呼吸器内科学,助教,朝比奈肇
統合・呼吸器,10,19,2,肺循環障害,呼吸器内科学,特任教授,辻野一三
統合・呼吸器,10,19,3,肺腫瘍の外科治療と術後管理,循環器・呼吸器外科学,診療教授,加賀基知三
統合・呼吸器,10,19,4,気管支鏡による診断と治療,呼吸器内科学,講師,品川尚文
統合・呼吸器,10,20,1,職業性肺疾患,北海道中央労災病院,名誉院長,木村清延
統合・呼吸器,10,20,2,肺結核,北海道医療センター,コンプライアンス統括部長,鎌田有珠
統合・呼吸器,10,20,3,呼吸器核医学検査,核医学,教授,玉木長良
統合・呼吸器,10,20,4,呼吸不全,北海道中央労災病院,院長,宮本顕二
統合・呼吸器,10,21,1,間質性肺炎,北海道中央労災病院,副院長,大塚義紀
統合・呼吸器,10,21,2,慢性閉塞肺疾患,呼吸器内科学,助教,鈴木雅
統合・呼吸器,10,21,3,気道・胸壁・横隔膜の外科治療,循環器・呼吸器外科学,准教授,樋田康浩
統合・呼吸器,10,21,4,縦隔疾患の診断と外科治療,循環器・呼吸器外科学,准教授,樋田康浩
統合・呼吸器,10,24,1,胸膜疾患の診断と外科治療,循環器・呼吸器外科学,診療教授,加賀基知三
統合・呼吸器,10,24,2,呼吸器感染症,呼吸器内科学,准教授,南須原康行
統合・呼吸器,10,24,3,リンパ脈管筋腫症、肺胞蛋白症、ランゲルハンス細胞組織球症,呼吸器内科学,助教,清水薫子
統合・呼吸器,10,24,4,胸部外傷,手稲渓仁会病院,院長,成田吉明
統合・呼吸器,10,25,1,先天性肺疾患、のう胞性肺疾患の外科治療,消化器外科学Ⅰ,特任助教,宮城久之
統合・呼吸器,10,25,2,呼吸器疾患の薬物治療（気管支拡張薬、抗炎症薬、去痰薬）,細胞薬理学,講師,堀之内孝広
統合・呼吸器,10,27,4,試験,,,
